Row,z_1,z_2
0,-1.339924943079597,-0.394449893049164
1,-1.207376251909261,0.02427789709588025
2,-1.2092355747832537,0.11381296526443527
3,-0.9043941085915931,0.11843294646849298
4,-0.34082876335407297,-0.17889071533425863
5,0.003907276048546405,-0.5081195506743502
6,0.17752578638154853,-0.7403652343645007
7,0.21933390980615225,-0.8150119045836954
8,0.29351401796999543,-0.9128811488142684
9,-0.11971325895214739,-0.775763866046322
10,-0.5631580964612398,-0.7533014265988949
11,-0.9090335667106827,-0.3463048553355031
12,,
13,0.33034481345151695,-1.075131253042133
14,0.29351401796999543,-0.9128811488142684
15,0.4261936987788782,-1.0531072169902587
16,,
17,-0.6240206216396729,0.562749900336818
18,-0.8641280598421234,1.0860831256832515
19,-0.1650484561622058,0.9378508766012148
20,0.3678781486873696,0.8292246141204853
21,0.5465030756232313,0.6616531998082922
22,0.7667438118487107,0.018792220460928332
23,0.9083385605818315,-0.16322305029340697
24,0.9280165744091942,-0.29536601736237117
25,0.886156028960541,-0.4193407310469384
26,0.6133215820827748,-0.2513592593765899
27,0.48390881861307966,-0.2069789535697305
28,0.36166958936123084,-0.11534942898369827
29,0.1826230347136827,0.017162710818866493
30,-0.4125448684919233,0.061459457774542564
