Row,kDN,N1,CL,DCP
1,-0.00017562200229736903,-0.00014679819109387885,0.036456137267453545,-0.000988908783090695
2,0.0006743259982353719,0.0014190063032307326,0.03613031755808731,0.0007206395012280712
3,-0.0008833459399204119,-0.0014112194861863956,0.03576202693695976,-0.0016915727443622026
4,-0.0016012700387625803,-2.5987238089694733e-05,0.03562795096714545,-0.00043988356829063473
5,-0.001386385625173038,-0.0003759124653589215,0.041688757801499374,0.9686450732375065
6,0.0017745737965295908,-0.00015988829535923773,0.03568420950884092,0.0020453368672533217
7,0.00017857270010569995,0.0003127742884260582,0.033774971817430416,-0.0004895030183008029
8,-0.0012334352545330764,0.0005461384940814682,0.035683289721407364,-5.777324903586293e-05
9,0.0002466830445739451,0.0003671824590207888,0.034561354881013535,-0.0007601911478286766
10,7.820128996829985e-05,0.0013670886055905662,0.03716492236096714,-0.0011184401225318096
11,0.00026258978530757903,-0.0005419693025002639,0.034610621631386146,0.0005454981028019896
12,0.000789541573703853,0.0007027048034479493,0.03508479401414892,0.0011376202704415945
13,-0.0003982530716273208,0.0008404574993823837,0.03452246820004341,-0.0014475173227321125
14,-0.0005018772434297187,-8.945326377874295e-05,0.037008642423142245,-1.7324837128639604e-05
15,-0.00042053256059008725,0.0015852983469728703,0.03620054999752418,0.001765911448392968
16,0.00043175099243218077,0.0008497538423482439,0.03642093978103945,0.0009650646716385042
17,0.0015952103954148822,0.0013441840069064372,0.03810382706118905,0.0011904399724537564
18,0.0004938474617334931,0.001798054569069161,0.037049079060371436,-0.0017494802040590265
19,0.0001844191812629029,-0.0006771664792261296,0.03583389417585516,-0.0007289824784335479
20,0.0003894874341720812,-0.0002870203742081509,0.03480763080202943,-0.00031061552889286026
21,-0.0017293902866704046,-0.0009029766378755104,0.03660800963394782,0.0007454444852681343
22,0.09962053986343994,0.0011924450180080697,0.08012640346497898,-0.0003979360401669135
23,-0.000163534921959125,0.0008512057982716989,0.03611870477011653,-0.00046576086282126215
24,0.10012391758492745,0.25089121385710206,0.03487161847698773,0.00031520992301088983
25,0.10037421115500203,0.00034548629042363137,0.036395727451109035,-0.0010875552285058718
26,0.19955206476869958,0.4990107799724131,0.969188350447278,-0.0014064334558307656
27,0.0010886196693401765,0.0003389395423593419,0.03590287498438273,-0.0001780559513179137
28,-0.0007768162300258401,0.001583490642910117,0.03651058229177537,0.0005079708049392828
29,0.0007347141442498702,0.00010039289104418998,0.03595167607462361,0.0002921342165215407
30,-0.0018926585714729941,4.2785967420642914e-05,0.03740699327737258,-0.0008680818493432007
31,-0.0015028738566086539,5.344304636258972e-05,0.03547349386802639,-0.00033179648968854257
32,3.109530502508355e-05,-7.812086348469122e-05,0.033408941518700365,0.00017643446484401934
33,-0.0006241845049596038,0.0024557069923617373,0.036997166307169975,-0.0021749803690696936
34,0.0019475718447625578,-0.00024984778003638383,0.034916711550445,-0.0011643245753012127
35,0.0017783897355292137,0.0007203715925255407,0.035736545652636745,-0.0003779707773329074
36,0.001189652174876886,-0.00014953918619882924,0.03492832498674321,0.0004302490498720636
37,0.001357228476699591,0.0009562859064484744,0.034624300515722885,0.0022008945548410153
