instances,feature_CL,feature_CLD,feature_DCP,feature_F1,feature_Harmfulness,feature_LSC,feature_LSR,feature_N1,feature_N2,feature_TD_P,feature_TD_U,feature_Usefulness,feature_kDN,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
1,0.03578779762518802,0.03373108659160018,0.0,0.6538461538461539,0.0,0.05084745762711862,0.12623243815031204,0.0,0.24023363231377426,1.0,0.6,0.3220338983050848,0.0,0.031997008205892546,0.06552752930468538,0.003107875741682358,0.039708921245025494,0.016967142812080095,0.0022722952682361548,0.008445762399460183
2,0.035791044682654594,0.033734332442089565,0.0,0.7692307692307693,0.0,0.6610169491525424,0.4497708710296655,0.0,0.38946646702687626,1.0,0.6,0.3728813559322034,0.0,0.031997008205892546,0.06552752930468538,0.04959829710044529,0.0397089338505594,0.023536821437145947,0.009540412737083517,0.0082702817979048
3,0.035787798533827186,0.03373108749990161,0.0,0.7692307692307693,0.0,0.47457627118644063,0.2926343867110436,0.0,0.3512956181025113,1.0,0.6,0.30508474576271183,0.0,0.056681341790711416,0.1476598031243858,0.009139647661002087,0.048446632002040996,0.011327882153316041,0.008231387265880307,0.014726385610328125
4,0.03578779760100281,0.03373108656742396,0.0,0.6153846153846154,0.0,0.15254237288135597,0.21493352111892816,0.0,0.2885690299642417,1.0,0.6,0.5593220338983051,0.0,0.032862859735163036,0.10643586070994121,0.0015167343685727917,0.039708921168443184,0.02325116107125472,0.1292460311977547,0.009724894160048115
5,0.04249288267834639,0.04043368432559352,0.9682539682539683,0.8461538461538461,0.0,0.7457627118644068,0.5017059679054121,0.0,0.4070085892870511,1.0,1.0,0.6101694915254237,0.0,1.9321682194688055,1.1185399939375162,0.13221720293530853,0.04030437799635268,0.15240646695092033,0.1660459350232205,0.05847154516181605
6,0.03578779760100281,0.03373108656742402,0.0,0.6538461538461539,0.0,0.10169491525423724,0.18971236665301283,0.0,0.2620282895518492,1.0,0.6,0.38983050847457623,0.0,0.07257797742132018,0.1293858492775164,0.001781465678669087,0.040247043933199694,0.012828364659352895,0.0223433174587669,0.019862371912314474
7,0.0357877976022154,0.033731086568636104,0.0,0.6923076923076923,0.0,0.11864406779661019,0.28985041673033907,0.0,0.27728917273187803,1.0,0.6,0.30508474576271183,0.0,0.033124027032756506,0.06550060361769916,0.0012061095766607837,0.03970892122154568,0.0182310992038335,0.007859765678577872,0.006725816437918685
8,0.03578779761541684,0.03373108658183266,0.0,0.7692307692307692,0.0,0.06779661016949157,0.20323167604592862,0.0,0.3074429070868795,1.0,0.6,0.3728813559322034,0.0,0.056681341790711416,0.1476598031243858,0.004967209861894887,0.0484465873370594,0.013984203541541434,0.006002996218888093,0.010762180026638663
9,0.035787797678489275,0.033731086644881614,0.0,0.6923076923076923,0.0,0.18644067796610164,0.35059470461328746,0.0,0.335584185715069,1.0,0.6,0.288135593220339,0.0,0.056681341790711416,0.1476598031243858,0.0081799346071731,0.048446588207211295,0.01188711864985582,0.005289162459541756,0.016397834540788567
10,0.035787797602918836,0.033731086569339264,0.0,0.6923076923076923,0.0,0.2542372881355932,0.3912850407445767,0.0,0.2739471485856495,1.0,0.6,0.2542372881355932,0.0,0.019055235358602828,0.1653963133255233,0.008688029337683565,0.028362179008731524,0.02322341811327549,0.012727478173946939,0.019090988601517887
