Row,z_1,z_2
0,0.29351401796999543,-0.9128811488142684
1,-0.03293095521103962,-0.780065443894596
2,0.21933390980615225,-0.8150119045836954
3,,
4,0.17752578638154853,-0.7403652343645007
5,-0.03293095521103962,-0.780065443894596
6,-0.06302087691355089,-0.7712868113257206
7,-0.14157579198518336,-0.7039802445119924
8,-0.31525793213282405,-0.6231427520848477
9,-0.3937061138277993,-0.4350905460515122
10,0.003907276048546405,-0.5081195506743502
11,,
12,0.3598809961173235,0.398922748994301
13,0.09093369728703844,0.43206757538917934
14,0.133006163706827,0.4988745022483425
15,,
16,0.07016052458041921,0.5280298099252378
17,0.05662348785749059,0.4584695201438921
18,0.022690030815259964,0.5289794785841809
