instances,instance_hardness
1,0.0234935839134357
2,0.03188996092990537
3,0.040407170414897386
4,0.04680649020412042
5,0.2918443346000039
6,0.04101543777155192
7,0.024102473575889127
8,0.039314765114551675
9,0.040167818903467656
10,0.037491972097494886
11,0.0526043111316129
12,0.05358635663535638
13,0.02761138142538011
14,0.04026448707135022
15,0.023069521553437222
16,0.04081087869068267
17,0.037864668229744325
18,0.04717473914592607
19,0.04241870334808162
20,0.02599276453209942
21,0.060921590371079026
22,0.18122217950842656
23,0.07518711078866191
24,0.13140305314973377
25,0.19242921847984706
26,0.35659432713594874
27,0.025912479706510005
28,0.07843660095869687
29,0.060813511046670654
30,0.030125262254809382
31,0.042725318909199395
32,0.035972638877019514
33,0.07602442452793201
34,0.045243654101511765
35,0.045248097672689336
36,0.07515384027461658
37,0.031009577246050024
38,0.05229376809340991
39,0.2063718642069594
40,0.11735406598142262
41,0.062483289298611466
42,0.06117413550937234
43,0.03929735360316622
44,0.3772503662532827
45,0.14772469193433913
46,0.05233778690888613
47,0.03908877681194434
48,0.03871866812475799
49,0.04333549215835808
50,0.03804928659419693
51,0.05107428231513189
52,0.045941365387229816
53,0.03852421390474203
54,0.03675337948416979
55,0.04037334647943991
56,0.04973954594533225
57,0.03753818009646703
58,0.03931226391281406
59,0.04042068183101777
60,0.11750511338982617
61,0.052811357125011726
62,0.5013804690900798
63,0.12017604100726309
64,0.040121070480778176
65,0.017051718120101977
66,0.16184350313452478
67,0.1965470995760421
68,0.03156112261378019
69,0.5356839848097301
70,0.023703580085388753
71,0.24934700878251082
72,0.04516954120231098
73,0.10694887856612623
74,0.4363305473178535
75,0.08465789373712806
76,0.036543484303990015
77,0.049812665341847584
78,0.06122931521162056
79,0.04135378584202276
80,0.038912211286647014
81,0.01623485591627505
82,0.07761897870391665
83,0.027540709742153058
84,0.7264920338136388
85,0.0289043468063932
86,0.040515330398554816
87,0.02980720392751457
88,0.030186506963368553
89,0.023598789130148456
90,0.03031197221733073
91,0.02269238475236035
92,0.06229251455417517
93,0.05439844525006454
94,0.020934273441668205
95,0.0300736519622683
96,0.14013227145337703
97,0.14248983418907324
98,0.031750861433238575
99,0.09988716696434485
100,0.04709028535548809
101,0.03332020445185924
102,0.05440048002644671
103,0.03793456600127243
104,0.02905082107082002
105,0.023291178358302966
106,0.031119822462175817
107,0.034208074954937606
108,0.03988279468715428
109,0.015786173756629718
110,0.08450805690534124
111,0.019172377065733714
112,0.01701397819624495
113,0.054469538334450784
114,0.039733490870564325
115,0.029199808771274594
116,0.016067772901152244
117,0.016511297613216458
118,0.01674666142246828
119,0.1827999741895553
120,0.033894089027674656
121,0.04070984760214147
122,0.12950807055316005
123,0.03495243405359805
124,0.048439802978331836
125,0.061909197705038665
126,0.01713880328205941
127,0.030023164916434197
128,0.04649992193930608
129,0.02714665783469916
130,0.04598105896604732
131,0.3299544041272622
132,0.06268226970234703
133,0.07720535451156207
134,0.07384323208239019
135,0.374450200319274
136,0.06827403433965462
137,0.17898993744084724
138,0.15517328540933972
139,0.0511181797807464
140,0.14390986783608695
141,0.14520214230435946
142,0.10102762947620325
143,0.08208198348504214
144,0.07006467064876531
145,0.05496889222691137
146,0.06311507088051171
147,0.06667876190926791
148,0.04320907226514559
149,0.03720781152492458
150,0.04650637342136488
151,0.12440285319500677
152,0.0537739522417795
153,0.054591533895867905
154,0.09687113137327119
155,0.09264796890300264
156,0.03603155339409936
157,0.05969581968082738
158,0.04008587158839616
159,0.16370656153393648
160,0.058760438974942764
161,0.050625328431231686
162,0.05655589528314442
163,0.0767180875556488
164,0.043499923845851884
165,0.027128014343818285
166,0.0484687663204475
167,0.03745972215228255
168,0.0475160704568367
169,0.043247061790300245
170,0.03445731251185158
171,0.09835580746389538
172,0.06495600895809805
173,0.04850416894283316
174,0.058596600799924015
175,0.05178301444087319
176,0.0406686895087065
177,0.03981623337400597
178,0.036412784298629375
