instances,feature_kDN,feature_N1,feature_CL,feature_DCP,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
1,0.0,0.0,0.03578779762518802,0.0,0.031997008205892546,0.06552752930468538,0.003107875741682358,0.039708921245025494,0.016967142812080095,0.0022722952682361548,0.008445762399460183
2,0.0,0.0,0.035791044682654594,0.0,0.031997008205892546,0.06552752930468538,0.04959829710044529,0.0397089338505594,0.023536821437145947,0.009540412737083517,0.0082702817979048
3,0.0,0.0,0.035787798533827186,0.0,0.056681341790711416,0.1476598031243858,0.009139647661002087,0.048446632002040996,0.011327882153316041,0.008231387265880307,0.014726385610328125
4,0.0,0.0,0.03578779760100281,0.0,0.032862859735163036,0.10643586070994121,0.0015167343685727917,0.039708921168443184,0.02325116107125472,0.1292460311977547,0.009724894160048115
5,0.0,0.0,0.04249288267834639,0.9682539682539683,1.9321682194688055,1.1185399939375162,0.13221720293530853,0.04030437799635268,0.15240646695092033,0.1660459350232205,0.05847154516181605
6,0.0,0.0,0.03578779760100281,0.0,0.07257797742132018,0.1293858492775164,0.001781465678669087,0.040247043933199694,0.012828364659352895,0.0223433174587669,0.019862371912314474
7,0.0,0.0,0.0357877976022154,0.0,0.033124027032756506,0.06550060361769916,0.0012061095766607837,0.03970892122154568,0.0182310992038335,0.007859765678577872,0.006725816437918685
8,0.0,0.0,0.03578779761541684,0.0,0.056681341790711416,0.1476598031243858,0.004967209861894887,0.0484465873370594,0.013984203541541434,0.006002996218888093,0.010762180026638663
9,0.0,0.0,0.035787797678489275,0.0,0.056681341790711416,0.1476598031243858,0.0081799346071731,0.048446588207211295,0.01188711864985582,0.005289162459541756,0.016397834540788567
10,0.0,0.0,0.035787797602918836,0.0,0.019055235358602828,0.1653963133255233,0.008688029337683565,0.028362179008731524,0.02322341811327549,0.012727478173946939,0.019090988601517887
11,0.0,0.0,0.035787797601003146,0.0,0.07257797742132018,0.24206822447421605,0.0013860990001891746,0.04024704374715051,0.013188251741321575,0.007752073002129143,0.021805239949194498
12,0.0,0.0,0.035787798505239055,0.0,0.07257797742132018,0.11026026948961175,0.006905662835551017,0.04024704738176779,0.03477016040071376,0.10148350910826619,0.023977597101466668
13,0.0,0.0,0.03578779761287132,0.0,0.03646337370673129,0.06690213392759775,0.0054450953270926,0.03970892632864685,0.03692576948540291,0.004913332088467224,0.007271413987573083
14,0.0,0.0,0.03578779770626883,0.0,0.05863103123902946,0.1476598031243858,0.0019964424091126567,0.04844658628916731,0.014376764604210564,0.0010483381911783223,0.023291868670263116
15,0.0,0.0,0.03578779760100281,0.0,0.031997008205892546,0.06552752930468538,0.00021319854437243081,0.03970892116688459,0.017823043206208703,0.0003779974648026935,0.009426575890197316
16,0.0,0.0,0.03578779760103179,0.0,0.056681341790711416,0.1476598031243858,0.008205046198223197,0.048446593980012394,0.013133126277731926,0.013951834690585243,0.01099052687956548
17,0.0,0.0,0.03578779760113038,0.0,0.037680693013240354,0.1399335360358771,0.006727880548253806,0.04830367714910193,0.013842437610110937,0.019423730996776876,0.010701857643594517
18,0.0,0.0,0.03578779766046858,0.0,0.08129836353564326,0.16386196301911435,0.009145634569578055,0.04024705146927511,0.014960095761729002,0.012453199702183688,0.025547967702168252
19,0.0,0.0,0.03578779760100281,0.0,0.019055235358602828,0.1653963133255233,0.026996708564759168,0.02836222793750315,0.017934329068397106,0.030864378033798396,0.02311211738186965
20,0.0,0.0,0.03578831693732498,0.0,0.03475768862262496,0.06884412863249392,0.004984304778108501,0.039708927331906785,0.021635952166981737,0.008670311358742385,0.0073487087468489965
21,0.0,0.0,0.035787811925085955,0.0,0.0869473559984669,0.14239307274874508,0.0722638423106006,0.04830367814293992,0.05048988699870668,0.02685000450376392,0.018018734897276716
22,0.1,0.0,0.08155270493442046,0.0,0.12021669149966074,2.5259289602407793,0.08138021197704567,0.039729237972613546,0.0832191548942798,0.017711880428253127,0.02097216020030528
23,0.0,0.0,0.03578808701071057,0.0,0.0867504769780375,0.1468372564090191,0.15901898469044137,0.048447525088636645,0.019200814973734524,0.07698608164836224,0.019409858129604798
24,0.1,0.25,0.03660502265068255,0.0,0.13250562798221457,0.17625714215795896,0.2264518929923551,0.04830960226077405,0.20889195259142918,0.1686192893851878,0.0414800980203824
25,0.1,0.0,0.03648261057882418,0.0,0.16723163547390335,0.6179513131760567,0.26410828040599943,0.028434059801158155,0.19415977087947972,0.28061235790975864,0.052093575658911165
26,0.2,0.5,0.9688321618924453,0.0,0.8615858272370132,0.7100187228299858,0.5750221630041794,0.08461421434668259,0.6793072541630059,0.40227479835425806,0.07000510606780613
27,0.0,0.0,0.03578780421447736,0.0,0.031997008205892546,0.06552752930468538,0.004840037110368864,0.03970892695751014,0.01915009638998137,0.016555346605549016,0.007350891104880538
28,0.0,0.0,0.035790359736516675,0.0,0.07802575463235792,0.3405892813159285,0.03992720035588815,0.028363933754273176,0.07726368188099444,0.02178553263565568,0.022590823380101217
